"lang"
{
"Language" "Polish"
"Tip_1_8"		"Niszczenie działek strażniczych Gwoździarką to bułka z masłem. Używaj jej, gdy masz do czynienia z trudno dostępnymi gniazdami działek."
// Fight or Flight
"Tip_1_9"		"Cegła zadaje spore obrażenia i silny odrzut. Odrzuć wrogów w powietrze!"
"Tip_1_10"		"Cegła zada obrażenia minikrytyczne, gdy rzucisz nią z dużej odległości."

// Sniper
"Tip_2_Count"	"11"
// Generic
"Tip_2_1"		"Celuj w głowy wrogów, by zadać im duże obrażenia."
"Tip_2_2"		"Możesz celować za pomocą karabinu snajperskiego lub skupić wzrok, używając Rewolweru myśliwskiego, naciskając %attack2%."
// Stock
"Tip_2_3"		"Strzał z karabinu snajperskiego zada tym większe obrażenia, im dłużej celujesz przez lunetę."
"Tip_2_4"		"W pełni naładowany strzał w głowę z karabinu snajperskiego potrafi natychmiastowo zabić większość klas.
"Tip_2_5"		"PM jest niezbędny do eliminowania wrogów, którzy znajdą się zbyt blisko twojej przestrzeni osobistej."
"Tip_2_6"		"Kukri stanowi ostatnią linię obrony i może okazać się przydatne w radzeniu sobie z niespodziewanymi zasadzkami."
// Death & Taxes
"Tip_2_7"		"Łowca może być wykorzystywany do bardziej ofensywnej walki w zwarciu, kosztem celności."
"Tip_2_8"		"Strzał z Łowcy będzie niecelny, jeśli przytrzymasz cięciwę na dłużej niż pięć sekund. Możesz zaniechać strzału, naciskając %attack2%."
"Tip_2_9"		"Rewolwer myśliwski jest świetną bronią na średni zasięg. Używaj go, by zadawać duże obrażenia i szybko wkraczać, i wycofywać się z linii frontu."
"Tip_2_10"		"Skupiając wzrok podczas strzelania z Rewolweru myśliwskiego, poruszasz się szybciej niż w przypadku innych broni podstawowych."
"Tip_2_11"		"Śledziobij odrzuca grupy wrogów i powoduje u nich krwawienie. Używaj go do odpychania intruzów."

// Soldier
"Tip_3_Count"	"12"
// Generic
"Tip_3_1"		"Jeśli jesteś ranny, naciśnij %helpme%, by wezwać Medyka. Pobliscy Medycy zostaną powiadomieni o twojej potrzebie."
"Tip_3_2"		"Wystrzel rakietę pod swoje stopy podczas skoku, by wybić się na duże wysokoći."
"Tip_3_3"		"Kucnij podczas przygotowywania rakietowego skoku, by osiągnąć maksymalną wysokość.
"Tip_3_4"		"Celuj rakietami w stopy wrogów, by mieć pewność, że nie unikną oni obrażeń od eksplozji."
"Tip_3_5"		"Eksplozje twoich rakiet powodują silny odrzut. Odpychaj wrogów lub wybij ich w powietrze!"
// Stock
"Tip_3_6"		"Pamiętaj, by wyrzutnia rakiet była zawsze naładowana. Naciśnij %reload%, by przeładować ją w dowolnym momencie."
"Tip_3_7"		"Używaj strzelby, by oszczędzić rakiety i uniknąć czekania na przeładowanie wyrzutni rakiet, gdy jesteś w środku walki."
"Tip_3_8"		"Używaj saperki, by zadawać stałe obrażenia z bliska, nie martwiąc się o obrażenia od eksplozji."
// Death & Taxes
"Tip_3_9"		"Kanonierki znacznie redukują utratę zdrowia podczas rakietowych skoków. Używaj ich, gdy mobilność i dobra pozycja są najważniejsze."
"Tip_3_10"		"Rakiety z R.P.G. lecą po łuku i mogą wylądować za osłoną wroga. Pamiętaj, by dokładnie celować!"
// Double Down
"Tip_3_11"		"Obrażenia od trzęsienia ziemi, jakie zadaje Kotwica admiralicji, skalują się wraz z czasem jej dobycia. Dobądź ją, znajdując się jak najwyżej nad ziemią podczas rakietowego skoku!"
"Tip_3_12"		"Wyposażenie się w Kotwicę admiralicji sprawia, że ​​jesteś podatny na otrzymywanie obrażeń krytycznych od pocisków, kiedy znajdujesz się w powietrzu. Uważaj podczas wzbijania się w powietrze."

// Demoman
"Tip_4_Count"	"15"
// Generic
"Tip_4_1"		"Naciśnij %attack2%, by zdalnie zdetonować bomby samoprzylepne lub zniszczyć rozstawione miny."
"Tip_4_2"		"Detonuj ładunki wybuchowe pod swoimi stopami, by skakać na duże odległości."
"Tip_4_3"		"Kucnij podczas przygotowywania wybuchowego skoku, by osiągnąć maksymalną wysokość."
// Stock
"Tip_4_4"		"Używaj granatnika do walki bezpośredniej. Granaty będące w powietrzu wybuchają natychmiast po zetknięciu z wrogiem."
"Tip_4_5"		"Gdy używasz wyrzutni bomb samoprzylepnych, pamiętaj, że im dłużej przytrzymasz %attack%, tym dalej bomba samoprzylepna poleci."
"Tip_4_6"		"Umieszczaj bomby samoprzylepne na ścianach i sufitach, gdzie będą trudne do zauważenia."
"Tip_4_7"		"Możesz użyć butelki w walce wręcz po wykonaniu wybuchowego skoku na terytorium wroga."
"Tip_4_8"		"Butelka zawsze zadaje taką samą ilość obrażeń bez względu na to, czy jest rozbita, czy nie."
// Death & Taxes
"Tip_4_9"		"Rzuć Paczkę dynamitu na oblegane punkty kontrolne, by oczyścić je z wrogów."
"Tip_4_10"		"Paczka dynamitu może zostać unieszkodliwiona przez wrogich Inżynierów. Uważaj, gdy rzucasz nią do gniazd działek strażniczych."
"Tip_4_11"		"Kanonierki znacznie redukują utratę zdrowia podczas wybuchowych skoków. Używaj ich, gdy mobilność i dobra pozycja są najważniejsze."
"Tip_4_12"		"Rozstawiacz min wystrzeliwuje miny zbliżeniowe, które wybuchają przy kontakcie z wrogiem. Używaj go, by zapewnić sobie automatyczną obronę!"
// Double Down
"Tip_4_13"		"Granaty elektromagnetyczne wystrzeliwane przez Cyklopa wybuchają tylko wtedy, gdy zdecydujesz je zdetonować. Wykorzystaj to, by idealnie wyczuć moment wybuchowego skoku lub zastawić śmiertelną pułapkę!"
"Tip_4_14"		"Cyklop natychmiastowo detonuje twoje ładunki wybuchowe. Wykorzystaj to do wykonywania zabójczych kombosów!"
"Tip_4_15"		"Używaj Cyklopa do neutralizowania wrogich bomb samoprzylepnych, Paczek dynamitu i min."

// Medic
"Tip_5_Count"	"16"
// Generic
"Tip_5_1"		"Jesteś w stanie znacznie szybciej leczyć sojuszników, którzy w ostatnim czasie nie otrzymali obrażeń!"
"Tip_5_2"		"ÜberCharge ładuje się znacznie szybciej, kiedy leczysz bardziej rannych towarzyszy."
"Tip_5_3"		"ÜberCharge ładuje się znacznie szybciej podczas czasu na przygotowanie."
"Tip_5_4"		"Ładuj ÜberCharge, lecząc swoich towarzyszy, a następnie naciśnij %attack2%, by go aktywować."
"Tip_5_5"		"Zwracaj uwagę na członków swojej drużyny wzywających pomocy. Obserwuj medyczne dymki wyświetlane na ekranie, by ich znaleźć."
"Tip_5_6"		"Ty i twoi pacjenci nie możecie przejmować punktów kontrolnych ani podnosić teczek z tajnymi materiałami, będąc niezniszczalnymi."
// Stock
"Tip_5_7"		"Pamiętaj, że strzykawki lecą po trajektorii parabolicznej i potrzebują czasu, by dotrzeć do celu. Celuj nad wrogiem, by w niego trafić."
"Tip_5_8"		"Używaj mediguna, by leczyć rannych sojuszników i tymczasowo ich nadleczyć, przywracając im 150% normalnego zdrowia."
"Tip_5_9"		"ÜberCharge mediguna sprawia, że zarówno ty, jak i twój pacjent, stajecie się na krótki czas niezniszczalni."
"Tip_5_10"		"Piła do kości może być użyta w sytuacjach, gdy musisz się obronić, będąc oddzielonym od swojej drużyny."
// Death & Taxes
"Tip_5_11"		"Kritzkrieg tymczasowo zapewnia twojemu pacjentowi gwarantowane trafienia krytyczne. Używaj go na silnych klasach i na obszarach z dużą liczbą wrogów."
"Tip_5_12"		"Używając Überstrzykawki, pamiętaj o dbaniu o swoje zdrowie. Wyposażenie się w nią zmniejsza twoje maksymalne zdrowie o 10 punktów."
"Tip_5_13"		"Szokoterapia zadaje tym większe obrażenia, im bardziej jest naładowana. Ładunek zostanie zużyty przy trafianiu wrogów."
"Tip_5_14"		"Szokoterapia może być użyta, by w pełni wyleczyć sojusznika przy pełnym naładowaniu, w zamian za zmniejszoną ogólną szybkość leczenia."
// Double Down
"Tip_5_15"		"Rewitalizator jest bardzo przydatny w leczeniu dużych grup sojuszników. Staraj się trafiać bezpośrednio w nich, by zwiększyć skuteczność leczenia i otrzymać większy przyrost ładowania ÜberCharge."
"Tip_5_16"		"ÜberCharge Rewitalizatora tworzy tymczasową tarczę niezniszczalności, dzięki której każdy członek drużyny, który wejdzie w jej zasięg, staje się odporny na wszelkie obrażenia."

// Heavy
"Tip_6_Count"	"17"
// Generic
"Tip_6_1"		"Jeśli jesteś ranny, naciśnij %helpme%, by wezwać Medyka. Pobliscy Medycy zostaną powiadomieni o twojej potrzebie."
"Tip_6_2"		"Dysponujesz największą ilością maksymalnego zdrowia ze wszystkich klas. Nie bój się stawiać czoła ofensywnym natarciom!"
"Tip_6_3"		"Jesteś znacznie wolniejszy od innych klas. Zachowaj ostrożność, wdając się w walkę z bardziej mobilnymi wrogami."
"Tip_6_4"		"Jesteś idealnym towarzyszem Medyka. Utrzymuj go w zasięgu wzroku, by mógł cię leczyć."
"Tip_6_5"		"Jesteś głównym celem dla Szpiegów. Korzystaj ze swojego arsenału, by trzymać ich na dystans, i często oglądaj się za siebie."
"Tip_6_6"		"Przytrzymaj %attack2%, by rozkręcić lufę miniguna lub przygotować Działo przeciwlotnicze. Bądź gotowy na nadciągających wrogów!"
// Stock
"Tip_6_7"		"Minigun zużywa dużo amunicji. Zbieraj paczki z amunicją i upuszczone bronie, by uzupełnić jej zapas."
"Tip_6_8"		"Nie stracisz szybkości ruchu, kiedy rozkręcisz lufę miniguna w powietrzu. Zaskocz wrogów, wyskakując zza rogu!"
"Tip_6_9"		"Strzelba zadaje duże obrażenia w krótkim czasie i pozwala poruszać się szybciej podczas strzelania niż z rozkręconą lufą miniguna."
"Tip_6_10"		"Twoja duża ilość zdrowia daje ci przewagę w większości walk wręcz. Nie bój się używać pięści!"
// Death & Taxes
"Tip_6_11"		"Znaleźć bezpieczne miejsce przed zjedzeniem Kanapki. W przeciwnym razie ktoś może ci niegrzecznie przeszkodzić."
"Tip_6_12"		"Aby się uleczyć, możesz jeść swoją Kanapkę dowolną ilość razy. Naciśnięcie %attack2%, by podzielić się nią ze swoim sojusznikiem, spowoduje jednak, że będziesz musiał trochę odczekać, zanim będzie znowu dostępna."
"Tip_6_13"		"Uważaj, gdzie rzucasz swoją Kanapkę. Zarówno sojusznicy, jak i wrogowie mogą ją podnieść, by przywrócić sobie 50% maksymalnego zdrowia!"
// Fight or Flight
"Tip_6_14"		"Działo przeciwlotnicze zadaje duże obrażenia w krótkim czasie. Sprawdza się idealnie do eliminowania grup wrogów i radzenia sobie z zagrożeniami czyhającymi za osłonami."
"Tip_6_15"		"Działo przeciwlotnicze zadaje obrażenia minikrytyczne wrogom, którzy znajdują się w powietrzu. Używaj go, by zestrzeliwać z nieba Żołnierzy wykonujących rakietowe skoki i wrogów używających wyskoczni!"
"Tip_6_16"		"Cios Czechowa przechowuje jedno trafienie krytyczne za każde udane trafienie we wroga. Zgromadzone trafienia krytyczne mogą być użyte z dowolną bronią!"
"Tip_6_17"		"Wyposażenie się w Cios Czechowa sprawia, że otrzymujesz obrażenia krytyczne od ataków wręcz. Zachowaj ostrożność podczas walki w zwarciu."

// Pyro
"Tip_7_Count"	"15"
// Generic
"Tip_7_1"		"Jesteś niemal w pełni odporny na obrażenia od podpalenia i ognia. Używaj broni pomocniczych i wręcz przeciwko wrogim Pyro, by szybciej się ich pozbyć."
"Tip_7_2"		"Możesz podpalić wrogów i szybko się wycofać, pozwalając płomieniom wykończyć przeciwników."
// Stock
"Tip_7_3"		"Miotacz ognia zadaje tym większe obrażenia, im bliżej znajdujesz się wroga."
"Tip_7_4"		"Miotacz ognia zużywa dużo paliwa. Zbieraj paczki z amunicją i upuszczone bronie, by uzupełnić jego zapas."
"Tip_7_5"		"Zasadzaj się na wrogów, by zaatakować ich z bliska przy pomocy miotacza ognia. Wykorzystuj rogi i spadki terenu na swoją korzyść."
"Tip_7_6"		"Strumień sprężonego powietrza miotacza ognia jest bardzo przydatnym narzędziem. Naciśnij %attack2%, by odepchnąć wrogów (w tym tych niezniszczalnych) lub zepchnąć ich w zagrożenia środowiskowe!"
"Tip_7_7"		"Naciśnij %attack2%, by użyć strumienia sprężonego powietrza miotacza ognia do ugaszenia swoich płonących sojuszników."
"Tip_7_8"		"Zmień broń na strzelbę, jeśli wrogom uda się wycofać poza ograniczony zasięg miotacza ognia."
"Tip_7_9"		"Na krótkim dystansie topór strażacki jest świetnym wyborem w radzeniu sobie z uciekającymi wrogami."
// Death & Taxes
"Tip_7_10"		"Pistolet sygnałowy podpala wrogów z dużej odległości. Doskonale sprawdza się przy eliminowaniu oddalonych wrogów, takich jak Snajperów."
"Tip_7_11"		"Pistolet sygnałowy jest w stanie zadać obrażenia krytyczne płonącym wrogim Pyro, ale przedział czasowy na zadanie takich obrażeń jest bardzo krótki."
// Fight or Flight
"Tip_7_12"		"Dwubeltówka pozwala na szybkie zbliżenie się do wroga. Odepchnij się w górę lub w stronę wrogów!"
"Tip_7_13"		"Dwubeltówka nie zadaje obrażeń w tym samym tempie jak strzelba. Jeśli przegrywasz potyczkę, użyj je odrzutu do wycofania się!"
"Tip_7_14"		"Żniwiarz jest w stanie naładować gwarantowany krytyczny atak wręcz i pozwala ci leczyć się zadając obrażenia wrogom."
"Tip_7_15"		"Wyposażenie się w Żniwiarza sprawia, że przy twojej śmierci wszyscy wrogowie, których podpaliłeś, zostaną ugaszeni."

// Spy
"Tip_8_Count"	"15"
// Generic
"Tip_8_1"		"Możesz używać zestawu przebrań, by przebrać się za członka wrogiej drużyny. Pamiętaj jednak, że nadal będziesz zderzać się z wrogami, a zaatakowanie będąc przebranym usunie twoje przebranie."
"Tip_8_2"		"Będąc przebranym, wzywaj wrogich Medyków, naciskając %voicemenu 0 0%."
"Tip_8_3"		"Staraj się zachowywać jak wróg, gdy korzystasz z przebrania. Obserwuj, gdzie przebywają członkowie wrogiej drużyny i przebierz się za jednego z nich."
"Tip_8_4"		"Będąc przebranym, naciśnięcie %reload% sprawi, że członkowie wrogiej drużyny będąc widzieć, jakbyś przeładowywał swoją broń."
"Tip_8_5"		"Będąc przebranym za wolniejsze klasy, naciśnij %speed%, by poruszać się z normalną szybkością."
"Tip_8_6"		"Naciśnij %attack2%, by stać się na chwilę całkowicie niewidzialnym."
"Tip_8_7"		"Użyj niewidzialności, by przeniknąć za linie wroga. Twoje przebranie pozwoli ci wmieszać się w jego szeregi."
// Stock
"Tip_8_8"		"Rewolwer jest bardzo przydatnym narzędziem, gdy twoja tajna misja nie przebiega zgodnie z planem."
"Tip_8_9"		"Umieszczaj sapery na wrogich konstrukcjach, by je dezaktywować i zniszczyć. Umieszczanie saperów nie usuwa twojego przebrania."
"Tip_8_10"		"Sapery dezaktywują działka strażnicze, zanim je zniszczą. Umieść saper na działku strażniczym przed atakiem na pobliskich Inżynierów."
"Tip_8_11"		"Używaj noża, by dźgać wrogów w plecy, natychmiastowo ich zabijając."
// Death & Taxes
"Tip_8_12"		"Pistolet usypiający spowalnia szybkość ruchu i ataku trafionego wroga, co ułatwia ucieczkę przed nim."
"Tip_8_13"		"Strzałki z Pistoletu usypiającego powodują, że trafiony wróg otrzymuje obrażenia krytyczne od ataków wręcz. Możesz pozwolić członkom swojej drużyny zaatakować go lub załatw go samemu."
// Fight or Flight
"Tip_8_14"		"L'escampette pozwala na szybkie przemieszczenie się do lub z wrogiej bazy. Wykonuj szybkie ucieczki albo błyskawiczne infiltracje!"
"Tip_8_15"		"Będąc niewidzialnym, L'escampette sprawia, że tracisz część zapasu niewidzialności, kiedy otrzymasz obrażenia. Unikaj linii ognia."

// Engineer
"Tip_9_Count"	"20"
// Generic
"Tip_9_1"		"Potrzebujesz metalu do budowy, napraw i ulepszania zbudowanych konstrukcji. Zbieraj upuszczone bronie i paczki z amunicją, by odnowić swoje zasoby."
"Tip_9_2"		"Możesz robić więcej niż tylko dbać o swoje konstrukcje. Włączaj się do walki i broń swoich konstrukcji, korzystając ze strzelby i pistoletu."
"Tip_9_3"		"Uważaj na wrogich Szpiegów, którzy zakładają sapery na twoje konstrukcje. Pozbywaj się saperów, uderzając je kluczem."
"Tip_9_4"		"Pamiętaj o ulepszaniu swoich konstrukcji. Mogą one zapewnić ogromne korzyści dla ciebie i twojej drużyny!"
"Tip_9_5"		"Naciśnij %attack2% podczas przenoszenia konstrukcji, by ją obrócić. Ustaw działka strażnicze i teleporty tak, by były najskuteczniejsze dla twojej drużyny!"
// Stock
"Tip_9_6"		"Twój pistolet ma dużo zapasowej amunicji. Wykorzystaj to, by zwabić wrogów do siebie i swojego działka strażniczego albo zastosuj bardziej agresywne podejście."
"Tip_9_7"		"Możesz rozbroić Paczki dynamitu wroga, uderzając je kluczem."
"Tip_9_8"		"Uderzanie kluczem w konstrukcje sojusznika naprawia je i ulepsza."
"Tip_9_9"		"Za pomocą PDA konstrukcji możesz stawiać działka strażnicze i inne pomocnicze konstrukcje."
"Tip_9_10"		"Działka strażnicze nie są przeznaczone wyłącznie do obrony. Rozkładaj je szybko w ukrytych miejscach, by wesprzeć atak."
"Tip_9_11"		"Możesz uderzać kluczem w swoje działko strażnicze, by je ulepszyć posiadanym metalem. Na każdym kolejnym poziomie działko strażnicze zyskuje większą wytrzymałość i siłę ognia."
"Tip_9_12"		"Buduj zasobniki, które leczą towarzyszy i dostarczają im amunicji. Wytwarzają one również metal na twoje potrzeby."
"Tip_9_13"		"Ulepszone zasobniki będą zapewniać więcej zdrowia, amunicji i metalu dla ciebie oraz twojej drużyny!"
"Tip_9_14"		"Możesz budować teleporty, by pomóc swoim towarzyszom w szybszym dotarciu na linię frontu."
"Tip_9_15"		"Ulepszone teleporty ładują się o wiele szybciej, co pozwala twojej drużynie sprawniej działać."
"Tip_9_16"		"Uderzenie kluczem w wejście lub wyjście teleportu zawsze naprawia i ulepsza obie konstrukcje!"
// Death & Taxes
"Tip_9_17"		"W pełni naładowane strzały z Cewkownika odbijają się od ścian i zadają większe obrażenia."
"Tip_9_18"		"Cewkownik, gdy zostanie przeciążony, spowoduje mały wybuch. Używaj go, by dotrzeć do wcześniej niedostępnych miejsc."
// Fight or Flight
"Tip_9_19"		"Wyskocznie pozwalają twojej drużynie dosięgnąć trudno dostępnych miejsc. Postaw je tak, by mniej sprawni członkowie drużyny mogli dostać się na gzymsy i dachy!"
"Tip_9_20"		"Wyskocznie pozwalają członkom drużyny skakać przed siebie z dużą prędkością. Stawiaj je na otwartym terenie, który pozwala na szybkie przemieszczanie się."

// Civilian
"Tip_10_Count"	"11"
// Generic
"Tip_10_1"		"Jesteś dość wolny. Postaraj się nadążyć za członkami swojej drużyny, by zwiększyć swoje szanse na przetrwanie."
"Tip_10_2"		"Jesteś najniższy ze wszystkich członków swojej drużyny. Może to być przydatne do ukrywania się za nimi."
"Tip_10_3"		"Tylko Cywil może przejmować punkty kontrolne w trybach VIP i Wyścig VIP-ów."
"Tip_10_4"		"Uważaj na wrogich Snajperów i Szpiegów, gdyż mogą cię zabić w mgnieniu oka."
"Tip_10_5"		"Pobliscy członkowie drużyny odczują efekt twojego moralnego wsparcia, przyznając im lekkie wzmocnienie obrony i leczenie. Staraj się unikać pola widzenia wroga i trzymaj się swojej drużyny."
