"lang"
{
"Language" "Spanish"
"Tip_2_9"		"Como Sniper, tu Revólver de caza es una gran opción a medio alcance. Úsalo para infligir mucho daño mientras entras y sales rápidamente de la primera línea."
"Tip_2_10"		"Como Sniper, tu movimiento mientras apuntas con el Revólver de Caza es mayor que con el rifle normal. Muévete mientras apuntas para ser más difícil de dar."
"Tip_2_11"		"Como Sniper, el Machacapeces causará hemorragia a un enemigo al golpearle. ¡Úsalo contra Spies invisibles!"

// Soldier
"Tip_3_Count"	"12"
// Generic
"Tip_3_1"		"Usa %voicemenu 0 0% para llamar a un Medic si estás dañado. Medics cercanos serán notificados."
"Tip_3_2"		"Como Soldier, puedes saltar a grandes alturas disparando un cohete a tus pies mientras saltas."
"Tip_3_3"		"Como Soldier, agáchate mientras te preparas para un salto con cohete para alcanzar la máxima altura."
"Tip_3_4"		"Como Soldier, apunta los cohetes a los pies de tus enemigos para que no puedan escapar de la explosión."
"Tip_3_5"		"Como Soldier, tus cohetes tienen gran onda expansiva. Úsala para empujar enemigos o para enviarlos por en aire."
// Stock
"Tip_3_6"		"Como Soldier, lleva siempre cargado el Lanzacohetes. Pulsa %reload% para recargarlo manualmente."
"Tip_3_7"		"Como Soldier, usa tu Escopeta para ahorrar cohetes y para evitar tener que recargar el Lanzacohetes en medio del combate."
"Tip_3_8"		"Como Soldier, usa tu Pala para infligir daño a corta distancia sin tener que preocuparte de recargar."
// Death & Taxes
"Tip_3_9"		"Como Soldier, las Botas Blindadas reducen daños de tus saltos con cohetes. Úsalas cuando el posicionamiento y movilidad son especialmente importantes."
"Tip_3_10"		"Como Soldier, los cohetes del RPG pueden ir por encima de muros. Asegúrate de apuntar con precisión."
// Double Down
"Tip_3_11"		"Como Soldier, el daño sísmico de tu Ancla del Almirantazgo aumenta cuanto más tiempo la sujetes. Sácala en el momento álgido de tu salto con cohete."
"Tip_3_12"		"Como Soldier, equipar el Ancla del Almirantazgo te hace propenso a recibir impactos críticos de proyectiles mientras estás en el aire. Asegúrate de saltar con cuidado."

// Demoman
"Tip_4_Count"	"15"
// Generic
"Tip_4_1"		"Como Demoman, pulsa %attack2% para detonar a distancia Bombas Lapas o desintegrar Minas que hayas colocado en el suelo."
"Tip_4_2"		"Como Demoman, detona bombas lapas debajo de tus pies al saltar para hacer saltos explosivos y llegar a grandes alturas."
"Tip_4_3"		"Como Demoman, agáchate cuando vayas a hacer un salto explosivo para llegar aún más lejos."
// Stock
"Tip_4_4"		"Como Demoman, usa tu Lanzagranadas para el combate directo. Las granadas explotan al impactar, excepto cuando tocan una superficie antes."
"Tip_4_5"		"Como Demoman, cuando utilices el Lanzabombas Lapa cuanto más tiempo mantengas pulsado el botón de disparo, más lejos llegará el proyectil."
"Tip_4_6"		"Como Demoman, dispara bombas lapas en paredes y techos donde sean difíciles de ver."
"Tip_4_7"		"Como Demoman, tu Botella puede usarse para el combate cuerpo a cuerpo tras saltar explosivamente a territorio enemigo."
"Tip_4_8"		"Como Demoman, tu Botella siempre hace el mismo daño, da igual que esté rota, o no."
// Death & Taxes
"Tip_4_9"		"Como Demoman, lanza tu Paquete de Dinamita a los Puntos de Control para despejarlos de enemigos."
"Tip_4_10"		"Como Demoman, tu Paquete de Dinamita puede ser desactivado por los Engineers enemigos. En lugar de eso, ¡puedes atacar los nidos de Centinelas con tus granadas!"
"Tip_4_11"		"Como Demoman, las Botas Blindadas reducen daños de tus saltos con bombas lapa. Úsalas cuando el posicionamiento y movilidad son especialmente importantes"
"Tip_4_12"		"Como Demoman, el Lanzaminas dispara minas de proximidad que explotan si un enemigo se acerca demasiado. Úsalo cuando tu arma primaria preferida sea el Lanzagranadas."
// Double Down
"Tip_4_13"		"Como Demoman, las granadas PEM del Cíclope solo detonan cuando tú lo permites. ¡Úsalas para sincronizar un salto explosivo o activar una trampa mortal!"
"Tip_4_14"		"Como Demoman, el Cíclope detona instantáneamente tus propios explosivos. Úsalo para crear trampas mortales o para matar con un combo agresivo"
"Tip_4_15"		"Como Demoman, puedes usar el Cíclope para desintegrar las Bombas Lapas, los Paquetes de Dinamita y las Minas enemigas que estén cerca."

// Medic
"Tip_5_Count"	"16"
// Generic
"Tip_5_1"		"Como Medic, los compañeros que no hayan sufrido daños recientemente se curarán mucho más rápido."
"Tip_5_2"		"Como Medic, rellena tu Supercarga más deprisa sanando a compañeros de equipo con heridas más graves."
"Tip_5_3"		"Como Medic, tu Supercarga se rellenará mucho más rápida durante el periodo de preparación."
"Tip_5_4"		"Como Medic, rellena tu Supercarga curando a compañeros de equipo y pulsa %attack2% para activarla."
"Tip_5_5"		"Como Medic, mantente alerta por los compañeros de equipo que necesitan tu ayuda. Usa las flechas en tu pantalla para encontrarlos."
"Tip_5_6"		"Como Medic, ni tú ni tu paciente podéis capturar Puntos de Control o coger el Dosier mientras seáis invulnerables."
// Stock
"Tip_5_7"		"Como Medic, recuerda que las jeringas viajan en arcos y a cierta velocidad. Intenta predecir el movimiento de los enemigos y apunta más alto para golpearles."
"Tip_5_8"		"Como Medic, emplea tu Pistola Médica para curar a tus compañeros de equipo y que alcancen hasta un 150%% de su salud normal."
"Tip_5_9"		"Como Medic, la Supercarga os hace invulnerables durante un breve periodo de tiempo tanto a ti como al objetivo de la Pistola Médica."
"Tip_5_10"		"Como Medic, tu Serrucho puede usarse en situaciones defensivas cuando estás separado de tus compañeros."
// Death & Taxes
"Tip_5_11"		"Como Medic, tu Kritzkrieg da Críticos a quien sanas. Úsala en áreas con muchos enemigos."
"Tip_5_12"		"Como Medic, al usar la Überspritze, estate atento de tu vida. Tienes un 25 menos al estar equipado con ella."
"Tip_5_13"		"Como Medic, el Electrochoque inflige más daño cuanto más cargado está. Su carga se agota por completo cuando golpeas a los enemigos."
"Tip_5_14"		"Como Medic, cuando está completamente cargado, el Electrochoque se puede utilizar para curar completamente a un compañero de equipo, pero reduce tu tasa de curación principal."
// Double Down
"Tip_5_15"		"Como Medic, el Rejuvenecedor es extremadamente útil para curar a grandes grupos de compañeros. Apunta a los impactos directos para aumentar la curación y la bonificación de Supercarga."
"Tip_5_16"		"Como Medic, la Supercarga del Rejuvenecedor despliega un escudo de invulnerabilidad temporal que vuelve inmune a cualquier compañero que entre en él."

// Heavy
"Tip_6_Count"	"17"
// Generic
"Tip_6_1"		"Usa %voicemenu 0 0% para llamar a un Medic si estás dañado. Medics cercanos serán notificados."
"Tip_6_2"		"Como Heavy, tienes más salud máxima que cualquier otra clase. ¡No tengas miedo de lanzarte a grandes ofensivas!"
"Tip_6_3"		"Como Heavy, eres mucho más lento que otras clases. Ten cuidado al enfrentarte a enemigos más ágiles."
"Tip_6_4"		"Como Heavy, eres un gran compinche del Medic. Mantén al Medic bien a la vista para que la Pistola Médica surta efecto sobre ti."
"Tip_6_5"		"Como Heavy, eres un blanco fácil para los Spies. Usa tu arsenal para mantenerlos a raya y mira hacia atrás con frecuencia."
"Tip_6_6"		"Como Heavy, mantén pulsado %attack2% para que tu Ametralladora siga girando, preparada para recibir a los enemigos que se acercan."
// Stock
"Tip_6_7"		"Como Heavy, tu Ametralladora consume un montón de munición. Recoge armas del suelo para recargarla."
"Tip_6_8"		"Como Heavy, no pierdes momento si giras tu Ametralladora en el aire. ¡Usa esto para sorprender a enemigos en esquinas!"
"Tip_6_9"		"Como Heavy, tu Escopeta puede causar un gran daño disperso y te permite moverte más rápido mientras atacas en comparación con girar tu Ametralladora."
"Tip_6_10"		"Como Heavy, tu alta salud te permite ganar la mayoría de los combates cuerpo a cuerpo. ¡No tengas miedo de usar los Puños!"
// Death & Taxes
"Tip_6_11"		"Como Heavy, búscate un lugar seguro antes de comerte tu Focata o podrás verte bruscamente interrumpido."
"Tip_6_12"		"Como Heavy, con el Focata en la mano, usa %attack2% para lanzarlo al suelo y tus compañeros puedan recogerlo como si fuera un botiquín."
"Tip_6_13"		"Como Heavy, ten cuidado dónde lanzas tu Focata. ¡Tanto tus compañeros como tus enemigos pueden recogerlo y curarse gran parte de su salud!"
// Fight or Flight
"Tip_6_14"		"Como Heavy, tu Cañón Anti-Aéreo causa mucho daño explosivo y es ideal para enfrentar multitudes."
"Tip_6_15"		"Como Heavy, tu Cañón Anti-Aéreo inflige minicríticos a enemigos aéreos. Úsalo para derribar Soldiers o enemigos usando Controladores Aéreos."
"Tip_6_16"		"Como Heavy, el Puño de Chéjov acumula un golpe crítico por cada impacto exitoso. ¡Úsalo con tu Ametralladora para asegurar los impactos críticos!"
"Tip_6_17"		"Como Heavy, el Puño de Chéjov te garantiza daño crítico de los ataques cuerpo a cuerpo de los enemigos. Ten cuidado en combate cercano."

// Pyro
"Tip_7_Count"	"15"
// Generic
"Tip_7_1"		"Como Pyro, no te puedes chamuscar por armas con fuego. Usa tu Escopeta u otras armas para atacar a Pyros enemigos."
"Tip_7_2"		"Como Pyro, a menudo puedes quemar a tus enemigos y replegarte, para así dejar que mueran chamuscados."
// Stock
"Tip_7_3"		"Como Pyro, tu Lanzallamas provoca más daños cuanto más cerca estás del enemigo."
"Tip_7_4"		"Como Pyro, tu Lanzallamas consume mucha munición. Recoge armas suelo para recargarla."
"Tip_7_5"		"Como Pyro, tiende una emboscada a los enemigos para asegurarte de poder dispararles a bocajarro para causar el máximo daño. Aprovecha las esquinas y huecos."
"Tip_7_6"		"Como Pyro, el aire comprimido del Lanzallamas (%attack2%) es muy útil. Te permite empujar a Medics invulnerables y sus pacientes lejos, o matarlos con peligros del entorno."
"Tip_7_7"		"Como Pyro, tu Lanzallamas puede extinguir a compañeros ardiendo con %attack2%."
"Tip_7_8"		"Como Pyro, cambia a tu arma secundaria si los enemigos se repliegan más allá del corto alcance de tu Lanzallamas."
"Tip_7_9"		"Como Pyro, tu Hacha de Bombero es una buena opción para enfrentarte a los Pyros enemigos."
// Death & Taxes
"Tip_7_10"		"Como Pyro, tu Pistola de Bengalas puede incendiar a enemigos lejanos. Esto funciona bien con Snipers enemigos."
"Tip_7_11"		"Como Pyro, tu Pistola de Bengalas tiene un período muy breve en el que puede infligir golpes críticos a los Pyros enemigos en llamas."
// Fight or Flight
"Tip_7_12"		"Como Pyro, puedes usar el Doble Cañón para reducir la distancia entre tú y tu objetivo. ¡Impúlsate hacia arriba o hacia tus enemigos!"
"Tip_7_13"		"Como Pyro, el Doble Cañón no inflige daño con la misma fiabilidad que tu Escopeta. Si vas perdiendo en un encuentro, úsalo para impulsarte en retirada."
"Tip_7_14"		"Como Pyro, el Segador puede generar un golpe crítico cuerpo a cuerpo garantizado y te permite curarte de tus enemigos."
"Tip_7_15"		"Como Pyro, morir con el Segador equipado extinguirá a cualquier enemigo que hayas prendido fuego."

// Spy
"Tip_8_Count"	"15"
// Generic
"Tip_8_1"		"Como Spy, disfrázate del enemigo con el Kit de Disfraces. Ten cuidado, ya que si atacas, perderás el disfraz."
"Tip_8_2"		"Como Spy, llama a Medics enemigos pulsando %voicemenu 0 0% mientras estés disfrazado."
"Tip_8_3"		"Como Spy, procura actuar como el enemigo cuando estés disfrazado. Observa dónde están los miembros del equipo enemigo y disfrázate de uno de ellos."
"Tip_8_4"		"Como Spy, si pulsas %reload% mientras estás disfrazado, parecerá que recargas ante los miembros del equipo enemigo."
"Tip_8_5"		"Como Spy, pulsa %speed% para moverte a velocidad normal mientras que estés disfrazado como una clase más lenta."
"Tip_8_6"		"Como Spy, pulsa %attack2% para ocultarte y volverte totalmente invisible durante un breve periodo de tiempo."
"Tip_8_7"		"Como Spy, utiliza el dispositivo de invisibilidad para ir tras las líneas enemigas, y el disfraz para pasar desapercibido."
// Stock
"Tip_8_8"		"Como Spy, tu Revólver es una herramienta muy útil cuando una operación sigilosa no sale bien."
"Tip_8_9"		"Como Spy, coloca los Zapadores en las Armas Centinela del enemigo para destruirlas. Los disfraces no se pierden al colocar Zapadores."
"Tip_8_10"		"Como Spy, los Zapadores desactivarán las Armas Centinela antes de destruirlas. Colócalo antes de atacar al Engineer."
"Tip_8_11"		"Como Spy, utiliza tu Mariposa para apuñalar por la espalda a los enemigos y eliminarlos al instante."
// Death & Taxes
"Tip_8_12"		"Como Spy, usa tu Pistola Sedante para ralentizar enemigos que puedan darte caza. Esto ayuda escapar de Pyros enemigos."
"Tip_8_13"		"Como Spy, los dardos de tu Pistola Sedante hacen que tu objetivo sufra golpes críticos garantizados de daño cuerpo a cuerpo."
// Fight or Flight
"Tip_8_14"		"Como Spy, L'escampette te permite moverte rápidamente hacia o desde la base enemiga. ¡Escapadas rápidas o infiltraciones rápidas!"
"Tip_8_15"		"Como Spy, pierdes la invisibilidad cuando recibes daño con L'escampette equipada. Mantente alejado de la línea de fuego."

// Engineer
"Tip_9_Count"	"20"
// Generic
"Tip_9_1"		"Como Engineer, necesitas metal para construir, reparar y mejorar tus construcciones. Recoge armas del suelo para reponer tu suministro."
"Tip_9_2"		"Como Engineer, puedes hacer más cosas que solamente mantener tus construcciones. Usa tu Escopeta y Pistola para asistir en batallas y proteger tus construcciones."
"Tip_9_3"		"Como Engineer, vigila por si hubiera Spies enemigos colocando Zapadores en tus construcciones. Utiliza tu Llave Inglesa para quitar dichos Zapadores."
"Tip_9_4"		"Como Engineer, recuerda mejorar tus construcciones, las construcciones mejoradas pueden ayudarte a ti y a tu equipo a ser mucho más eficientes."
"Tip_9_5"		"Como Engineer, usa %attack2% para rotar los planos antes de que uses %attack% para construirlos. Haz esto para evitar que las salidas de Teleportadores estén orientados a paredes."
// Stock
"Tip_9_6"		"Como Engineer, tu Pistola tiene mucha munición de reserva. Úsala para dirigir a los enemigos hacia ti y tu Arma Centinela, o opta por un enfoque más ofensivo."
"Tip_9_7"		"Como Engineer, puedes destruir un Pack de Dinamita al golpearlo con la Llave Inglesa."
"Tip_9_8"		"Como Engineer, puedes golpear construcciones amigas con tu Llave Inglesa para repararlas y mejorarlas."
"Tip_9_9"		"Como Engineer, utiliza la herramienta de construcción para colocar Armas Centinela, Dispensadores y Teleportadores."
"Tip_9_10"		"Como Engineer, las Armas Centinelas no son estrictamente defensivas. Ponlas rápidamente en sitios ocultos para asistir en la ofensiva."
"Tip_9_11"		"Como Engineer, golpea el Arma Centinela con la Llave Inglesa para mejorarla con metal. Cada nivel añade más salud y potencia de disparo."
"Tip_9_12"		"Como Engineer, construye Dispensadores para que tus compañeros de equipo repongan salud y munición. También generan metal que podrás utilizar."
"Tip_9_13"		"Como Engineer, los Dispensadores mejorados generarán más salud, munición y metal para ti y tu equipo."
"Tip_9_14"		"Como Engineer, construye Teleportadores o Controladores Aéreos para ayudar a tu equipo a llegar antes al frente de batalla."
"Tip_9_15"		"Como Engineer, los Teleportadores mejorados se recargan mucho más rápido, permitiendo que tu equipo mantenga la presión en el campo de batalla."
"Tip_9_16"		"Como Engineer, golpea la entrada o la salida de los Teleportadores para mejorar y reparar ambos lados."
// Death & Taxes
"Tip_9_17"		"Como Engineer, los disparos completamente cargados del Bobiductor pueden rebotar en las paredes y causar más daño."
"Tip_9_18"		"Como Engineer, el Bobiductor explotará si lo cargas al máximo durante tres segundos. Lo puedes usar para llegar a zonas previamente inaccesibles."
// Fight or Flight
"Tip_9_19"		"Como Engineer, puedes cambiar el Teleportadores por Controladores Aéreos. Los Controladores Aéreos os permiten a ti y a tu equipo llegar a lugares altos."
"Tip_9_20"		"Como Engineer, los Controladores Aéreos permiten a tus compañeros saltar hacia delante con gran impulso. Colócalos en lugares que permitan realizar lanzamientos rápidos."

// Civilian
"Tip_10_Count"	"11"
// Generic
"Tip_10_1"		"Como Civilian, tu velocidad es un poco lenta. Intenta no quedarte atrás de tus compañeros."
"Tip_10_2"		"Como Civilian, eres la clase más pequeña del juego. Esto puede ser útil para esconderte detrás de compañeros de equipo."
"Tip_10_3"		"Como Civilian, eres el único capaz de capturar Puntos de Control en los modos VIP y Carrera VIP."
"Tip_10_4"		"Como Civilian, ten cuidado con los Spies enemigos, ya que son capaces de matarte al instante."
"Tip_10_5"		"Como Civilian, los compañeros cercanos serán protegidos del daño por tu mejora de moral."
"Tip_10_6"		"Como Civilian, pulsa %attack2% en un compañero de equipo para potenciarlo, dándole una gran ventaja en la batalla."
// Stock
"Tip_10_7"		"Como Civilian, tu Paraguas no es muy efectiva como arma. Deja a tu equipo luchar por ti."
"Tip_10_8"		"Como Civilian, tu Paraguas otorga minicríticos a un compañero de equipo que elijas. Potencia las clases capaces de infligir mucho daño."
"Tip_10_9"		"Como Civilian, el impulso de minicríticos de tu Paraguas también otorgará a los Medics una mejor tasa de curación y más Supercarga"
// Double Down
"Tip_10_10"		"Como Civilian, puedes usar tu Bastón de Derby para aumentar la velocidad de un compañero. Esto le permite moverse y disparar mucho más rápido."
"Tip_10_11"		"Como Civilian, tu Bastón de Derby aumenta la tasa de curación de los Medics y la tasa de construcción de los Engineers."

// ----------------------------------------------------------------
// Stock weapon strings
// ----------------------------------------------------------------

// Bat
"TF_Weapon_Bat"							"Bate"
"TF_Weapon_Bat_Desc"					"\"Esta cosa crea las mejores abolladuras cuando tiene que hacerlas—¡muy útil!\""
// Bottle
"TF_Weapon_Bottle"						"Botella"
"TF_Weapon_Bottle_Desc"					"\"¡Ay, mi botella de sidra!\""
// Fire Axe
"TF_Weapon_FireAxe"						"Hacha de Bombero"
"TF_Weapon_FireAxe_Desc"				"Enseña la valiosa lección de seguridad contra incendios."
// Kukri
"TF_Weapon_Kukri"						"Kukri"
"TF_Weapon_Kukri_Desc"					"\"¡Un toque de la vieja escuela!\""
// Knife
"TF_Weapon_Knife"						"Mariposa"
"TF_Weapon_Knife_Desc"					"Para el hombre que ama ver cómo se desenvuelven las cosas."
// Fists
"TF_Weapon_Fists"						"Puños"
"TF_Weapon_Fists_Desc"					"\"Esto es solo muestra gratuita del dolor que te espera\""
// Shovel
"TF_Weapon_Shovel"						"Pala"
"TF_Weapon_Shovel_Desc"					"\"¡La necesitarás para cavar tu tumba cuando no te quede ningún resto!\""
// Wrench
"TF_Weapon_Wrench"						"Llave Inglesa"
"TF_Weapon_Wrench_Desc"					"\"Hago un poco de todo.\""
// Bonesaw
"TF_Weapon_Bonesaw"						"Serrucho"
"TF_Weapon_Bonesaw_Desc"				"\"¡Venga, prometo que le curaré!\""
// Shotgun
"TF_Weapon_Shotgun"						"Escopeta"
"TF_Weapon_Shotgun_Desc_Engineer"		"\"A veces cuando quieres que algo salga bien, tienes que hacerlo tú mismo.\""
"TF_Weapon_Shotgun_Desc_Soldier"		"\"¡Mi escopeta dice que gusanos como tú, han fallado la simple tarea de sobrevivir!\""
"TF_Weapon_Shotgun_Desc_Heavy"			"\"¡Arma pequeña para acabar con bebés pequeños!\""
"TF_Weapon_Shotgun_Desc_Pyro"			"Deja que hable por ti."
// Scattergun
"TF_Weapon_Scattergun"					"Recortada"
"TF_Weapon_Scattergun_Desc"				"\"Me ves, no me ves. ¡Y estás muerto, tontolculo!\""
// Sniper Rifle
"TF_Weapon_SniperRifle"					"Rifle de Francotirador"
"TF_Weapon_SniperRifle_Desc"			"\"A ese cuello le falta algo más que una corbata.\""
// Minigun
"TF_Weapon_Minigun"						"Ametralladora"
"TF_Weapon_Minigun_Desc"				"\"A Sasha gusta ver hombres caer como mosca\""
