"lang"
{
"Language" "German"
"Tip_2_3"		"Als Sniper richten Sie mit einem Schuss umso mehr Schaden an, je länger Sie gezoomt bleiben."
"Tip_2_4"		"Als Sniper sind die Kopfschüsse bei einem voll aufgeladenen Scharfschützengewehr bei den meisten Klassen sofort tödlich."
"Tip_2_5"		"Als Sniper erledigen Sie Feinde mit dem sekundären Sub-Maschinengewehr aus der Nähe."
"Tip_2_6"		"Als Sniper ist Ihre Kukri die letzte Verteidigung und kann bei unerwarteten Hinterhalten nützlich sein."
// Death & Taxes
"Tip_2_7"		"Als Sniper kann der Huntsman für einen zuverlässigeren Nahkampf eingesetzt werden, allerdings auf Kosten der Genauigkeit."
"Tip_2_8"		"Als Sniper verfehlt Ihr Schuss in der Regel, wenn der Huntsman länger als fünf Sekunden gespannt ist. Setzen Sie ihn mit %attack2% zurück."
"Tip_2_9"		"Als Sniper ist der Jagdrevolver eine großartige Option für die mittlere Distanz. Verwenden Sie ihn, um Schaden zu verursachen, während Sie sich schnell in die Frontlinie hinein- und herausbewegen."
"Tip_2_10"		"Als Sniper bewegen Sie sich mit dem Jagdrevolver relativ schnell, wenn Sie sich im Zoom-Modus befinden. Bleiben Sie im Zoom-Modus in Bewegung, um ein schwer zu treffendes Ziel zu sein."
"Tip_2_11"		"Als Sniper sorgt der Fischknüppel dafür, Gegnern zu verbluten und wegzustoßen. Stoßen Sie die Eindringlinge aus dem Weg."

// Soldier
"Tip_3_Count"	"12"
// Generic
"Tip_3_1"		"Drücken Sie %helpme%, um einen Medic zu rufen, falls Sie verletzt sind. Die Medics in der Nähe werden über Ihren Bedarf informiert."
"Tip_3_2"		"Als Soldier können Sie mit Raketensprüngen durch gleichzeitiges Springen und Abfeuern einer Rakete auf nahegelegene Oberflächen große Höhen erreichen oder weite Entfernungen zurücklegen."
"Tip_3_3"		"Als Soldier sollten Sie sich beim Raketensprung ducken, um die maximale Höhe zu erreichen."
"Tip_3_4"		"Feuern Sie als Soldier Raketen auf die Füße Ihrer Feinde, damit diese dem Explosionsschaden nicht ausweichen können."
"Tip_3_5"		"Als Soldier haben Ihre Raketen einen starken Rückstoß. Nutzen Sie dies, um Ihre Gegner herumzustoßen oder sie in die Luft zu schleudern."
// Stock
"Tip_3_6"		"Als Soldier sollten Sie den Raketenwerfer immer geladen haben. Drücken Sie %reload%, um jederzeit nachzuladen."
"Tip_3_7"		"Benutzen Sie Ihre Schrotflinte als Soldier, um Raketen zu sparen und das Nachladen Ihres Raketenwerfers inmitten eines Feuergefechts zu vermeiden."
"Tip_3_8"		"Als Soldier können Sie mit der Schaufel in den Nahkampf gehen, um nicht Nachladen zu müssen."
// Death & Taxes
"Tip_3_9"		"Die Explosionsstiefel des Soldiers reduzieren den Schaden enorm, den Sie durch Raketensprünge nehmen. Rüsten Sie sich mit den Explosionsstiefeln aus, wenn Position und Beweglichkeit von besonderer Bedeutung sind."
"Tip_3_10"		"Als Soldier können Sie mit ihrer Panzerfaust über Deckung schießen. Zielen Sie ihre Raketen sorgfältig!"
// Double Down
"Tip_3_11"		"Als Soldier gilt: Je länger Sie die Schusstaste mit dem Admiralitätsanker gedrückt halten, desto stärker wird das Erdbeben. Halten Sie also die Taste beim Raketensprung gedrückt!"
"Tip_3_12"		"Sie erleiden kritische Treffer als Soldier in der Luft mit dem Admiralitätsanker ausgerüstet. Seien Sie also in der Luft vorsichtig!"

// Demoman
"Tip_4_Count"	"15"
// Generic
"Tip_4_1"		"Als Demoman detonieren Sie mit Ihrem Haftbombenwerfer oder zischen Sie mit Ihrem Minenleger mit %attack2%."
"Tip_4_2"		"Detonieren Sie als Demoman Haftbomben unter Ihren Füßen, um mit einem Haftbombensprung in große Höhen zu springen."
"Tip_4_3"		"Als Demoman sollten Sie sich beim Haftbombensprung ducken, um die maximale Höhe zu erreichen."
// Stock
"Tip_4_4"		"Nutzen Sie als Demoman Ihren Granatwerfer für den direkten Kampf. So lange Granaten noch nicht den Boden berührt haben, detonieren Sie beim Aufprall auf den Gegner."
"Tip_4_5"		"Als Demoman gilt: Je länger Sie die Schusstaste mit dem Haftbombenwerfer gedrückt halten, desto weiter geht der Schuss."
"Tip_4_6"		"Als Demoman sollten Sie Haftbomben an Wände und Decken schießen, wo sie schwer zu sehen sind."
"Tip_4_7"		"Als Demoman kann Ihre Flasche im Nahkampf eingesetzt werden, nachdem Sie mit einem Explosionssprung in feindliches Gebiet vorgedrungen sind."
"Tip_4_8"		"Als Demoman ist es egal, ob Ihre Flasche zerbrochen ist oder nicht. Sie verursacht immer noch den gleichen Schaden."
// Death & Taxes
"Tip_4_9"		"Werfen Sie als Demoman Ihr Dynamitbündel auf Kontrollpunkte, um Feinde loszuwerden."
"Tip_4_10"		"Der Dynamitbündel von Demoman kann von feindlichen Engineer zerstört werden. Schießen Sie lieber mit Ihrem Granatwerfer auf die Sentryguns."
"Tip_4_11"		"Als Demoman reduzieren die Explosionsstiefel den Gesundheitsverlust durch Sprünge mit Haftbomben erheblich. Verwenden Sie sie, wenn Positionierung und Mobilität besonders wichtig sind."
"Tip_4_12"		"Als Demoman schießt die Minenleger Annäherungsminen, die explodieren, wenn ein Feind in ihrer Nähe steht. Verwenden Sie es, um Kontrollpunkte zu verteidigen!"
// Double Down
"Tip_4_13"		"Als Demoman explodieren die EMP-Granaten des Zyklopen nur dann, wenn Sie die Schusstaste loslassen. Damit können Sie einen gut getimten Explosionssprung ausführen oder eine tödliche Falle auslösen!"
"Tip_4_14"		"Als Demoman können Sie die Schusstaste Ihres Zyklopen loslassen, um ihn zu detonieren. Verwenden Sie ihn, um eine Falle zu stellen oder einen Kombo-Kill auszuführen!"
"Tip_4_15"		"Setzen Sie als Demoman Ihren Zyklopen ein, um gegnerische Haftbomben, Dynamitbündeln und Minen zu zerstören."

// Medic
"Tip_5_Count"	"16"
// Generic
"Tip_5_1"		"Als Medic werden Teamkameraden, die noch keinen Schaden erlitten haben, viel schneller geheilt!"
"Tip_5_2"		"Als Medic füllen Sie Ihre Überladung schneller, wenn Sie stark verwundete Teamkollegen heilen."
"Tip_5_3"		"Als Medic wird Ihre Überladung während der Vorbereitungszeit viel schneller aufgeladen."
"Tip_5_4"		"Als Medic füllen Sie Ihre Überladung durch das Heilen von Teamkollegen. Durch Drücken von %attack2% werden Sie für kurze Zeit unverwundbar."
"Tip_5_5"		"Als Medic müssen Sie auf Teamkollegen achten, die Hilfe benötigen. Mit Hilfe der Sprechblasen mit dem Rettungszeichen finden Sie ihren Kollegen leichter."
"Tip_5_6"		"Als Medic kann ein Kontrollpunkt nicht eingenommen und das Geheimmaterial nicht aufgenommen werden, solange man unverwundbar ist."
// Stock
"Tip_5_7"		"Denken Sie als Medic daran, dass Ihre Nadeln auf Distanz an Höhe verlieren und langsamer als andere Projektile sind. Zielen Sie etwas über Ihr Ziel, um Treffer zu landen."
"Tip_5_8"		"Als Medic heilen Sie Teamkollegen mit der Medigun und laden sie bis zu 150%% ihrer normalen Gesundheit."
"Tip_5_9"		"Als Medic werden Sie und Ihr Medigun-Ziel durch Ihre Überladung kurzzeitig unverwundbar."
"Tip_5_10"		"Als Medic kann Ihre Knochensäge zur Verteidigung in Situationen eingesetzt werden, wenn Sie von Ihrem Teamkameraden getrennt sind."
// Death & Taxes
"Tip_5_11"		"Als Medic verleiht Ihr Kritzkrieg Ihrem verbundenen Teamkollegen Krits. Verwenden Sie es in stärkeren Klassen, in denen es viele Feinde gibt."
"Tip_5_12"		"Achten Sie als Medic auf Ihre Gesundheit, wenn Sie die Überspritze benutzen. Sie haben 140 Gesundheitspunkte, wenn Sie damit ausgerüstet sind."
"Tip_5_13"		"Als Medic verursacht die Schocktherapie mehr Schaden, je mehr sie aufgeladen ist. Die Ladung wird bei jedem Treffer, den Sie auf Feinden landen, vollständig aufgebraucht."
"Tip_5_14"		"Als Medic kann die Schocktherapie eingesetzt werden, um einen Teamkameraden bei voller Aufladung vollständig zu heilen, senkt aber die eigene Hauptheilungsrate."
// Double Down
"Tip_5_15"		"Als Medic ist Ihr Knallkapselwerfer sehr nützlich, um mehrere Teamkollegen gleichzeitig zu heilen. Bei einem direkten Treffer erhöht sich Ihre Heil- und Überladungsrate."
"Tip_5_16"		"Als Medic setzt der Knallkapselwerfer mit der Überladung einer temporären Schutzblase ein, der alle Teamkameraden, die in der Blase sind, gegen alle Schäden immun macht."

// Heavy
"Tip_6_Count"	"17"
// Generic
"Tip_6_1"		"Drücken Sie %helpme%, um einen Medic zu rufen, falls Sie verletzt sind. Die Medics in der Nähe werden über Ihren Bedarf informiert."
"Tip_6_2"		"Als Heavy haben Sie die höchste Gesundheitspunkten als alle andere Klasse. Haben Sie keine Angst, vorzustoßen!"
"Tip_6_3"		"Als Heavy sind Sie die langsamste Klasse. Seine Sie auf der Hut, wenn Sie gegen beweglicheren Gegnern wie Scouts kämpfen."
"Tip_6_4"		"Als Heavy sind Sie ein guter Partner des Medic. Halten Sie die Sicht zum Medic frei, damit die Medigun wirken kann."
"Tip_6_5"		"Sie sind als Heavy ein Hauptziel für Spys. Nutzen Sie ihr Arsenal, um sie in Schach zu halten, und achten Sie auf ihren Rücken."
"Tip_6_6"		"Halten Sie als Heavy %attack2% gedrückt, um die Minigun drehen zu lassen - bereit für nahende Feinde."
// Stock
"Tip_6_7"		"Als Heavy braucht Ihre Minigun eine Menge Munition. Sammeln Sie fallen gelassene Waffen oder Munitionskisten, um Ihre Vorräte aufzufüllen."
"Tip_6_8"		"Als Heavy werden Sie nicht langsamer, wenn Sie Ihre Minigun im Sprung schussbereit machen. Nutzen Sie diese Technik, um Gegner hinter Ecken zu überraschen!"
"Tip_6_9"		"Als Heavy kann Ihre Schrotflinte hohen Schaden verursachen und Sie können sich beim Angreifen schneller bewegen als mit Ihrer Minigun."
"Tip_6_10"		"Dank Heavys hohen Gesundheitspunkten können sie als Heavy in meisten Nahkämpfe gewinnen. Haben Sie keine Angst, ihre Fäuste einzusetzen!"
// Death & Taxes
"Tip_6_11"		"Achten Sie als Heavy darauf, einen sicheren Ort zu finden, an dem Sie ihr Sandvich essen können, da Sie sonst unhöflich unterbrochen werden."
"Tip_6_12"		"Als Heavy können Sie so oft Ihren Sandvich aufessen, wie Sie wollen, um zu heilen. Doch wenn Sie %attack2% drücken, um es mit einem Freund zu teilen, wird es auf Abklingzeit gesetzt."
"Tip_6_13"		"Passen Sie als Heavy auf, wohin Sie ihren Sandvich werfen. Sowohl Teamkameraden als auch Feinde können das Sandvich aufheben, um sich bis zu 50% heilen!"
// Fight or Flight
"Tip_6_14"		"Als Heavy verursacht Ihre Flugabwehrkanone hohen Explosionsschaden und ist ideal für den Umgang mit mehreren Gegner."
"Tip_6_15"		"Als Heavy verursacht Ihre Flugabwehrkanone Mini-Krits bei Feinden in der Luft. Verwenden Sie sie, um Soldiers oder Feinde mit Sprungplattform umzuwerfen."
"Tip_6_16"		"Als Heavy sichert der Tschechow-Ketten für jeden Treffer einen kritischen Treffer, bis zu max. 3. Benutze Sie ihn mit ihrer Minigun für garantierte kritische Treffer!"
"Tip_6_17"		"Sie erleiden als Heavy mit ihrem Tschechow-Ketten garantiert kritischen Schaden durch gegnerische Nahkampfangriffe. Seien Sie im Nahkampf vorsichtig."

// Pyro
"Tip_7_Count"	"15"
// Generic
"Tip_7_1"		"Als Pyro können Sie gegnerische Pyros nicht durch Feuerwaffen entzünden. Verwenden Sie Ihre Schrotflinte oder Nahkampfwaffen gegen gegnerische Pyros, um dem entgegenzuwirken."
"Tip_7_2"		"Als Pyro können Sie Feinde häufig erledigen, indem Sie sie in Brand setzen und verschwinden."
// Stock
"Tip_7_3"		"Als Pyro ist der Schaden durch Ihren Flammenwerfer umso größer, je näher Sie am Feind sind."
"Tip_7_4"		"Als Pyro braucht Ihr Flammenwerfer eine Menge Munition. Sammeln Sie fallen gelassene Waffen oder Munitionskisten, um Ihre Ausrüstung aufzufüllen."
"Tip_7_5"		"Greifen Sie als Pyro aus dem Hinterhalt an, um aus der Nähe mit Ihrem Flammenwerfer maximalen Schaden anzurichten. Nutzen Sie Ecken zu Ihrem Vorteil."
"Tip_7_6"		"Als Pyro ist der Kompressionsstoß des Flammenwerfers (%attack2%) sehr nützlich. Verwenden Sie ihn, um Feinde (auch die unverwundbaren) wegzuschubsen oder in Umwelteinflüssen zu bringen."
"Tip_7_7"		"Löschen Sie als Pyro die Flammen des Teamkameraden mit %attack2%."
"Tip_7_8"		"Wechseln Sie als Pyro zu Ihrer Schrotflinte, wenn Feinde aus der Reichweite des Flammenwerfers sind."
"Tip_7_9"		"Als Pyro ist Ihre Feueraxt eine gute Wahl, um die gegnerischen Pyros zu zerhacken."
// Death & Taxes
"Tip_7_10"		"Als Pyro können Sie mit Ihrer Signalpistole Feinde auf weite Entfernung in Brand setzen. Das funktioniert gut gegen Feinden aus der Ferne, vor allem gegen feindliche Snipers."
"Tip_7_11"		"Mit Ihrer Signalpistole als Pyro haben Sie ein sehr kleines Zeitfenster, die feindliche Pyros einen kritischen Treffer auszuführen, wenn sie brennen."
// Fight or Flight
"Tip_7_12"		"Als Pyro können Sie mit Ihrer Doppelflinte schleudern, damit Sie sich leichter an die Feinde annähern können!"
"Tip_7_13"		"Als Pyro verursacht Ihre Doppelflinte nicht so viel Schaden wie die Schrotflinte. Schleudern Sie sich mit der Waffe weg, falls Sie in einem Kampf keine Chance haben."
"Tip_7_14"		"Als Pyro kann der Harvester einen garantierten kritischen Treffer erzielen und erlaubt es ihnen, sich von ihren Feinden zu heilen."
"Tip_7_15"		"Wenn Sie als Pyro mit dem Harvester sterben, werden alle Flammen der Feinde, die Sie in Brand gesetzt haben, ausgelöscht."

// Spy
"Tip_8_Count"	"15"
// Generic
"Tip_8_1"		"Nutzen Sie als Spy Ihr Verkleidungskit, um das feindliche Lager zu infiltrieren. Achtung, Sie können immer noch auf Feinde stoßen und wenn Sie angreifen, verschwindet die Verkleidung."
"Tip_8_2"		"Rufen Sie als verkleideter Spy durch Drücken von %voicemenu 0 0% feindliche Medics."
"Tip_8_3"		"Benehmen Sie sich als verkleideter Spy wie der Feind. Beobachten Sie, wo Feinde sind, und verkleiden Sie sich als einer von ihnen."
"Tip_8_4"		"Drücken Sie als Spy %reload%, während Sie sich als Feind verkleidet haben, um vorzutäuschen, als ob Sie nachladen würden."
"Tip_8_5"		"Drücken Sie als Spy %speed%, um mit normaler Geschwindigkeit zu rennen, während Sie als langsamere Klassen verkleidet sind."
"Tip_8_6"		"Drücken Sie als Spy %attack2%, um für kurze Zeit mittels Tarnung unsichtbar zu werden."
"Tip_8_7"		"Verwenden Sie als Spy Ihre Tarnung, um unsichtbar auf die feindliche Seite zu gelangen und sich dort zu bewegen."
// Stock
"Tip_8_8"		"Als Spy ist Ihr Revolver sehr nützlich, wenn eine Tarnung keine Option mehr ist."
"Tip_8_9"		"Platzieren Sie als Spy Ihre Elektro-Sapper auf feindlichen Sentryguns, und zerstören Sie sie. Verkleidungen bleiben beim Platzieren von Sappern erhalten."
"Tip_8_10"		"Als Spy deaktivieren Ihre Elektro-Sapper Sentryguns zunächst, bevor Sie sie zerstören. Platzieren Sie einen Sapper auf der Sentrygun, bevor Sie den Engineer angreifen."
"Tip_8_11"		"Als Spy können Sie mit dem Messer Feinde sofort durch einen Rückenstich erledigen."
// Death & Taxes
"Tip_8_12"		"Verwenden Sie als Spy Ihre Betäubungsspistole, um Feinde zu verlangsamen und den Schaden der Waffen zu verringern. Dies hilft für einen guten Flucht."
"Tip_8_13"		"Als Spy garantieren die Pfeile der Betäubungsspistole, dass Ihr Ziel kritische Treffer durch Nahkampfschaden erleidet. Lassen Sie Ihre Teamkollegen auf sie eindreschen oder versuchen Sie es selbst mit einem Treffer."
// Fight or Flight
"Tip_8_14"		"Als Spy können Sie sich mit der L'escampette schnell zum oder vom feindlichen Basen bewegen. Fliehen Sie schnell oder verstecken Sie schnell!"
"Tip_8_15"		"Als Spy verlieren Sie, mit der Verwendung von L'escampette, mehr Tarnleiste, wenn Sie angegriffen werden. Halten Sie sich aus der Schusslinie heraus."

// Engineer
"Tip_9_Count"	"20"
// Generic
"Tip_9_1"		"Als Engineer benötigen Sie für den Bau, die Reparatur und Upgrades Ihrer Gebäude Metall. Sammeln Sie fallen gelassene Waffen oder Munitionskisten, um Ihre Vorräte aufzufüllen."
"Tip_9_2"		"Als Engineer können Sie mehr tun, als nur auf Ihre Gebäude zu starren. Nutzen Sie Ihre Schrotflinte und Ihre Pistole, um in Kämpfen mitzuhelfen und Ihre Gebäude zu verteidigen."
"Tip_9_3"		"Achten Sie als Engineer auf feindliche Spys, die Elektro-Sapper an Ihren Gebäuden anbringen. Entfernen Sie die Sapper mit dem Schraubenschlüssel."
"Tip_9_4"		"Denken Sie als Engineer daran, Ihre Gebäude zu upgraden. Upgegradete Gebäude können Ihnen und ihr Team helfen!"
"Tip_9_5"		"Drücken Sie als Engineer %attack2%, während Sie Ihre Gebäude tragen, um die Baupläne zu drehen. Drehen Sie ihre Sentrygun oder Teleporter, um für Ihr Team wirksam zu sein!"
// Stock
"Tip_9_6"		"Als Engineer verfügt Ihre Pistole über eine Menge Reservemunition. Verwenden Sie sie, um Feinde zu Ihnen und Ihren Sentrygun zu führen, oder wählen Sie einen offensiveren Ansatz."
"Tip_9_7"		"Als Engineer können Sie das Dynamitbündel entschärfen, indem Sie es mit einem Schraubenschlüssel schlagen."
"Tip_9_8"		"Als Engineer können Sie mit Ihrem Schraubenschlüssel verbündete Gebäude reparieren und upgraden."
"Tip_9_9"		"Platzieren Sie als Engineer mit dem Konstruktions-PDA Sentryguns und andere Hilfsgebäude."
"Tip_9_10"		"Als Engineer können Sentryguns nicht nur zur Verteidigung dienen. Platzieren Sie sie schnell an versteckten Orten, um einen offensiven Vorstoß zu unterstützen."
"Tip_9_11"		"Schlagen Sie als Engineer mit dem Schraubenschlüssel auf die Sentrygun, um sie zu verbessern. Jedes Level macht sie widerstandsfähiger und fügt mehr Feuerkraft hinzu."
"Tip_9_12"		"Bauen Sie als Engineer Dispenser, um Teamkollegen mit Gesundheit und Munition zu versorgen. Sie generieren dafür Metall für Sie."
"Tip_9_13"		"Als Engineer kann Ihr Level-3-Dispenser mehr Gesundheit, Munition und Metall für sich und Ihr Team generieren!"
"Tip_9_14"		"Bauen Sie als Engineer Teleporter oder Sprungplattformen, damit Ihr Team schneller an die Front gelangt."
"Tip_9_15"		"Als Engineer ist Ihre Level-3-Teleporter schneller wieder einsatzbereit und ermöglichen es Ihrem Team, den Druck aufrechtzuerhalten."
"Tip_9_16"		"Schlagen Sie als Engineer entweder den Ein- oder den Ausgang Ihres Teleporters mit Ihrem Schraubenschlüssel, um beide Seiten zu reparieren und zu upgraden."
// Death & Taxes
"Tip_9_17"		"Als Engineer können vollgeladene Schüsse aus Ihrer Spulenpistole von Wänden abprallen und mehr Schaden verursachen."
"Tip_9_18"		"Als Engineer verursacht die Spulenpistole eine Explosion, wenn Sie es überladen. Verwenden Sie es, um zuvor unzugängliche Bereiche zu erreichen."
// Fight or Flight
